Název;"zkratka
(nemusíte vyplňovat)";Podkategorie (Hranované,svetla,ploche,sperky );Kód produktu;Materiál;Rozměry;Popis;Fotka hlavní;další fotka;další fotka;další fotka;další fotka
The Flat vase;flat;ploche;PS001;Barevné ploché sklo;20 x 10 x 10 cm;Jedná se o ručně vyrobenou vázu z plochého skla. Váza se dá použít ať už jako luxusní detail k vašemu nábytku či v případě potřeby jako váza na květiny.;Flat vase.jpg;;;;
The Beveling bowl;bowl;brousene;HS001;Křišťál/Mustard Yellow;9 x 18 x 18 cm;Jedná se o luxusní hranovanou misku, která je celá vysoce vyleštěná. Uvnitř je miska barevná, z venku je však černá což přidává na jejím luxusu. Miska je vhodná k použití jako luxusní detail k vašemu nábytku.;Beveling bowl.jpg;;;;
The Brick;brick;brousene;HS002;Křišťál;21 x 12 x 6 cm;Jedná se o luxusní hranovanou vázu, která je celá vysoce vyleštěná. Váza se dá použít ať už jako luxusní detail ve vašem nábytku či v případě potřeby jako váza na květiny.;Brick.jpg;;;;
The Hexagon;hexagon;brousene;HS003;Křišťál/Grey , Křišťál/Blue;13 x 9 x 9 cm;Jedná se o luxusní šestihranou vázu, která je celá vysoce vyleštěná, avšak některé hrany zůstali matné, čímž nám vzniká jedinečný efekt. Váza se dá použít ať už jako luxusní detail k vašemu nábytku či v případě potřeby jako váza na květiny.;Hexagon a.jpg;Hexagon b.jpg;;;
The Iron big;iron big;brousene;HS004;Křišťál/Smoke , Křišťál/Gold ruby , Křišťál/Black;23 x 15 x 6 cm;Jedná se o luxusní hranovanou vázu, která je celá vysoce vyleštěná, avšak malé hrany zůstali matné, čímž nám vzniká jedinečný efekt. Váza se dá použít ať už jako luxusní detail ve vašem nábytku či v případě potřeby jako váza na květiny.;Iron big a.jpg;Iron big b.jpg;Iron big c.jpg;;
The Iron small;iron small;brousene;HS005;Křišťál/Opal white, Křišťál/Blue;21 x 13 x 6 cm;Jedná se o luxusní hranovanou vázu, která je celá vysoce vyleštěná, avšak malé hrany zůstali matné, čímž nám vzniká jedinečný efekt. Váza se dá použít ať už jako luxusní detail ve vašem nábytku či v případě potřeby jako váza na květiny.;Iron small a.jpg;Iron small b.jpg;;;
The Lucy;lucy;brousene;HS006;Křišťál/Reseda green;24 x 9 x 9 cm;Jedná se o luxusní hranovanou vázu, která je celá vysoce vyleštěná. Váza se dá použít ať už jako luxusní detail ve vašem nábytku či v případě potřeby jako váza na květiny.;Lucy.jpg;;;;
The Pentagon;pentagon;brousene;HS007;Ambr dark;17 x 12 x 12 cm;Jedná se o luxusní pětihranou vázu, která je celá vysoce vyleštěná, avšak některé hrany zůstali matné, čímž nám vzniká jedinečný efekt. Váza se dá použít ať už jako luxusní detail k vašemu nábytku či v případě potřeby jako váza na květiny.;Pentagon.jpg;;;;
The Pyramid;pyramid;brousene;HS008;Křišťál , Křišťál/Reseda green;10 x 15 x 15 cm;Jedná se o luxusní hranovanou vázu, která je celá vysoce vyleštěná. Váza se dá použít ať už jako luxusní detail ve vašem nábytku či v případě potřeby jako váza na květiny.;Pyramid a.jpg;Pyramid b.jpg;;;
The Rectangle big;rectangle;brousene;HS009;Křišťál/Purple;26 x 9 x 5 cm;Jedná se o luxusní hranovanou vázu, která je celá vysoce vyleštěná. Váza se dá použít ať už jako luxusní detail ve vašem nábytku či v případě potřeby jako váza na květiny.;Rectangle big.jpg;;;;
